uuid,name,price,processor,memory,hard_drive,graphics,img
14e150ba-1444-11eb-9321-0242ac1c0002,New G3 15 3500 Laptop,"$2,298.99 ",Intel Core i7-10750H,16,512GB_SSD,NVIDIA GeForce RTX 2060 ,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/g_series/15_3500_non_touch/pdp/laptop_g_series_g3_15_3500_nontouch_notebook_pdp_hero.jpg?fmt=jpg&wid=570&hei=400
14eab4f2-1444-11eb-9321-0242ac1c0002,New G3 15 3500 Laptop,"$2,348.99 ",Intel Core i7-10750H,16,1TB_SSD,NVIDIA GeForce GTX 1660 Ti,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/g_series/15_3500_non_touch/pdp/laptop_g_series_g3_15_3500_nontouch_notebook_pdp_hero.jpg?fmt=jpg&wid=570&hei=400
14f4edbe-1444-11eb-9321-0242ac1c0002,XPS 13 (7390),"$2,398.99 ",Intel Core i7-10510U,8,512GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/Video_Imagery/all/italia-xps-13-7390-thumbnail-111519.jpg
15633468-1444-11eb-9321-0242ac1c0002,New Inspiron 14 5000 2-in-1 Laptop (5406),"$1,648.99 ",Intel Core i7-1165G7,16,512GB_SSD,NVIDIA GeForce MX330,https://i.dell.com/sites/csimages/Video_Imagery/all/notebooks-inspiron-14-5400-2in1-pdp-design-gallery504x350-gray.jpg
156d637a-1444-11eb-9321-0242ac1c0002,New Inspiron 14 5000 2-in-1 Laptop,"$1,648.99 ",Intel Core i7-1065G7,8,512GB_SSD,Intel Iris Plus Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_5400_2in1/pdp/notebooks-inspiron-14-5400-2in1-pdp-design-gallery504x350-silver.jpg?fmt=jpg&wid=570&hei=400
157714b0-1444-11eb-9321-0242ac1c0002,New Inspiron 14 5000 2-in-1 Laptop,"$1,648.99 ",Intel Core i7-1065G7,8,512GB_SSD,Intel Iris Plus Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_5400_2in1/pdp/notebooks-inspiron-14-5400-2in1-pdp-design-gallery504x350-silver.jpg?fmt=jpg&wid=570&hei=400
1580d61c-1444-11eb-9321-0242ac1c0002,New Inspiron 15 5000 Laptop (5501),"$1,649.00 ",Intel Core i7-1065G7,12,1TB_SSD,NVIDIA GeForce MX330,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/15_5501_5508/pdp/notebooks-inspiron-15-5501-5508-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
158ac6ae-1444-11eb-9321-0242ac1c0002,New Inspiron 15 5000 Laptop (5501),"$1,649.00 ",Intel Core i7-1065G7,12,1TB_SSD,NVIDIA GeForce MX330,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/15_5501_5508/pdp/notebooks-inspiron-15-5501-5508-laptop-pdp-design-gallery504x350.jpg?fmt=jpg&wid=570&hei=400
159503a8-1444-11eb-9321-0242ac1c0002,Inspiron 14 7000 Laptop (7490),"$1,698.99 ",Intel Core i5-10210U,8,512GB_SSD,NVIDIA GeForce MX250,https://i.dell.com/sites/csimages/Video_Imagery/all/inspiron-14-7000-2019-360spin-thumb.jpg
159e8950-1444-11eb-9321-0242ac1c0002,New G3 15 3500 Laptop,"$1,499.00 ",Intel Core i5-10300H,8,256GB_SSD+1TB_HDD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/g_series/15_3500_non_touch/pdp/laptop_g_series_g3_15_3500_nontouch_notebook_pdp_hero.jpg?fmt=jpg&wid=570&hei=400
15a82d8e-1444-11eb-9321-0242ac1c0002,New Inspiron 14 7000 Laptop (7400),"$1,798.99 ",Intel Core i5-1135G7,8,512GB_SSD,NVIDIA GeForce MX350,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_7400/global_spi/ng/notebook-inspiron-14-7400-campaign-hero-504x350-ng.psd?fmt=jpg&wid=570&hei=400
15b1cc0e-1444-11eb-9321-0242ac1c0002,New Inspiron 13 7000 Laptop (7300),"$1,798.99 ",Intel Core i7-1165G7,8,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/13_7300/pdp/evo/notebooks-inspiron-14-7300-laptop-pdp-design-gallery-504x350.jpg?fmt=jpg&wid=570&hei=400
